ID,Nome,Nickname,Descricao,Criacao_Canal,Categoria,Viewers,Linguagem,Data_stream,Hora_stream
642318624,spicyuuu,spicyuuu, no I'm not angry ◑__________◑  ,27/01/2021,VALORANT,5960,Inglês,15/05/2025,08:48:21
936171791,yugi2x,Yugi2x,Business inquiries - Yugi@mythictalent.com,24/07/2023,Just Chatting,5232,Inglês,15/05/2025,04:58:27
752988454,yuyuta0702,ゆゆうた押忍,youtuberと配信者をやってます曲、ゲーム等のリクエスト、スタンプ作ってくれる人はこちら(suzuki19880702@gmail.com)までご連絡ください,15/12/2021,Yakuza Kiwami 2,4813,Japonês,15/05/2025,09:00:30
81446331,traytonlol,TraYtoNlol,J'aime l'esport League of legends !!!!!,31/01/2015,League of Legends,4742,Francês,15/05/2025,07:33:44
91438833,mokrysuchar,MokrySuchar,"Dzień dobry nazywam się Dominik. Mam 25 lat i stwierdzone ADHD. Robię rzeczy i ruchy z Xayoo, streamuję na pół etatu mokrysuchar@stormmedia.gg",19/05/2015,Just Chatting,4554,Polonês,15/05/2025,07:43:32
48978939,pch3lk1n,PCH3LK1N,"Алексей ""PCH3LK1N"" Пчёлкин - амбассадор FONBET, комментатор 2023 года (SLAY), создатель школы киберспортивных комментаторов, стример, киберспортивный комментатор CS 2, ведущий, автор проектов RAPКинообзор, RAPGAMEOBZOR на YouTube. Сотрудничество - PCH3LK1N@streamers-alliance.com. № 4935565942",14/09/2013,Just Chatting,4482,Russo,15/05/2025,06:34:59
67708794,nix,Nix,Фрукты не дышать корень имбиря стоять на голове холодный душ спать на полу с открытыми глазами,30/07/2014,Just Chatting,4294,Russo,15/05/2025,10:28:30
1214185767,lplenglish,lplenglish,Your home for all things #LPL! Fan-made project.,10/12/2024,League of Legends,4212,Inglês,15/05/2025,09:26:43
181357564,tolkin,Tolkin,esports enjoyer & Rentner,11/11/2017,League of Legends,3962,Alemão,15/05/2025,07:58:06
162757011,leva2k,leva2k,Я могучий сильный лев. Мама мне не моет меx.  4777872774.   Сотрудничество bossbogush@yandex.com,04/07/2017,Just Chatting,3836,Russo,13/05/2025,11:34:37
70408195,capp,Capp,Business/Sponsorship inquiries: Cappttv@gmail.com or Discord: Cap#6666,01/09/2014,Grand Theft Auto V,3700,Inglês,15/05/2025,03:28:38
70298660,skyyart,Skyyart,Passionné de jeu vidéo stratégique :D Contact Pro Only✉️ skyyartpro@gmail.com,31/08/2014,League of Legends,3650,Francês,15/05/2025,07:50:59
233929245,m3wsu,m3wsu,добрячоk 120ping - now lowping  Сотрудничество: vk - https://vk.com/tkorenev99 tg - @m3wsucoop  gmail - m3wsucooperation@gmail.com № 5144745026,25/06/2018,Counter-Strike,3598,Russo,15/05/2025,06:43:09
23852822,failverde,懶貓,我是懶貓 是個廢課手遊玩家,04/08/2011,MapleStory N,3569,Chinês,15/05/2025,03:55:01
40603161,ceb_,ceb_,"Sebastien 'Ceb' Debs. I've been a coach, a panelist, and also player all 5 roles during my DotA career. Proud TI8 and TI9 champion, as well as a few majors ✌️",22/02/2013,Dota 2,3480,Inglês,15/05/2025,06:58:15
51065352,faide,Faide,beat the odds // Business: faidettv@gmail.com,03/11/2013,Apex Legends,3467,Inglês,15/05/2025,05:19:26
15027034,zrush,嬌兔,可愛的兔子 ga619003@gmail.com ,27/08/2010,DOOM: The Dark Ages,3464,Chinês,15/05/2025,02:50:21
139291787,patmenvlr,patmenvlr,Valorant Player for Paper Rex,12/11/2016,VALORANT,3430,Inglês,15/05/2025,08:49:12
140772558,baiano,Baiano,"Ex-proplayer de LOL e primeiro jogador Brasileiro a jogar fora do país. Superei um tumor, depressão e diversas cirurgias! Criei o CBOLÃO, Baianalista e a maior comunidade do League of Legends: O ILHA DAS LENDAS, que foca levar diversão e entretenimento para nossa comunidade. ",30/11/2016,League of Legends,3426,Português,15/05/2025,07:34:40
1206015653,nemurinotakuma,眠りのたくま,人狼ゲーム経験１２年 ターン制人狼メイン配信にしてます YouTubeではもうすぐ登録者３万人ツイッチでも配信頑張っていくので応援よろしくお願いします！,24/11/2024,Jinro Metropolis,3402,Japonês,15/05/2025,08:00:38
582765062,premiertwo,PremierTwo,Join the man-who-never-sleeps!,13/09/2020,Just Chatting,3356,Inglês,15/05/2025,08:40:42
37106068,krapycoco,虧皮,Krapy 虧皮,22/10/2012,VALORANT,3314,Chinês,15/05/2025,08:54:04
184578486,mfreak00,mfreak00,Analista español de League of Legends. Costream oficial de la LCK. Dplus KIA Content Creator.,06/12/2017,League of Legends,3136,Espanhol,15/05/2025,07:32:24
43539324,broxah,Broxah,OMEGALUL,14/05/2013,League of Legends,3136,Inglês,15/05/2025,05:17:59
57025612,thijs,Thijs,"I'm Thijs, 29 years old and playing Hearthstone since 2013. After my 2 times HS European Championship I started full-time streaming. Email: thijsnlbusiness@gmail.com",17/02/2014,Hearthstone,3119,Inglês,15/05/2025,08:47:08
494280955,c6akira,c6akira,広島在住のREJECT所属のプロゲーマーあきら。犬猫ゴマフアザラシ好き。甘い物好き。,22/02/2020,Street Fighter 6,3069,Japonês,15/05/2025,06:56:16
266301326,xqn_thesad,XQN_TheSad,Hi! I go by XQN and I am one of the best Hearthstone Battlegrounds players. Welcome :),12/10/2018,Hearthstone,3052,Inglês,15/05/2025,09:01:57
48245475,areslps,AresLPs,"""Mit humorvoller Unterhaltung könnt ihr bei mir positiv in den Tag starten. Als Variety Streamer priorisiere ich Transparenz und Respekt gegenüber meiner Community. Stark, dass DU hier bist!""",28/08/2013,Enshrouded,3008,Alemão,15/05/2025,04:03:22
265940345,tpabomah,TpaBoMaH,"Человек при жизни ставший легендой, из-за меня удалили героя в доте и комьюнити улучшилось на 52% Сейчас играю в кайф и делюсь своими знаниями и скилом со зрителями!https://www.gosuslugi.ru/snet/67b6ad1f9a7d4b3de1949f89",10/10/2018,Dota 2,2998,Russo,15/05/2025,09:41:45
237234078,ennaouii,哈耿,💫 合作、任何工作方面洽談請用： ennaouii.sales@gmail.com 與專人聯繫 💫,09/07/2018,VALORANT,2875,Inglês,15/05/2025,09:38:39
21991090,pietsmiet,PietSmiet,Fünf spieleverrückte Teilzeit-Bekloppte zocken aus Leidenschaft.,25/04/2011,GeoGuessr,2852,Alemão,15/05/2025,07:49:23
25452510,nervarien,Nervarien,Esport League of Legends w najlepszym wydaniu. Biznes: nervarien@werefantasy.com,14/10/2011,League of Legends,2814,Polonês,15/05/2025,09:09:52
93381903,japanesekoreanug,JapaneseKoreanUG,　　　　　　　　　　　　　,13/06/2015,League of Legends,2752,Japonês,15/05/2025,08:02:06
41314239,dafran,dafran,I stream Overwatch. DPS Player. Business email: dafran@thisisafk.com . --------------------------- Going live 2 pm CET,14/03/2013,Overwatch 2,2748,Inglês,15/05/2025,05:54:07
93305727,takayaspecial,たかやスペシャル,LoLをしてます　,12/06/2015,League of Legends,2697,Japonês,15/05/2025,09:03:21
159974499,supermanpoka,SUPERMANPOKA,PRO player 24 y.o,12/06/2017,Just Chatting,2620,Russo,15/05/2025,04:23:35
43028909,fandy,Fandy,"Hey there! I'm a long time content creator since 2015 - I currently stream World of Warcraft, Overwatch, League of Legends and IRL content, mostly my fitness journey and fun adventures I find myself in! Full-time streamer, living in Austin, TX.  For business inquiries - fandy@mythictalent.com",29/04/2013,Clair Obscur: Expedition 33,2553,Inglês,15/05/2025,04:59:10
423486275,yuuechka,yuuechka,"реклама и сотрудничество:  yuuechka.reklama@gmail.comрейды, пиар аккаунтов, коллабы с собой не продаю о_______О",14/03/2019,Just Chatting,2534,Russo,15/05/2025,09:49:46
704122424,onigiri,OniGiri,"Welcome to Onimart. I am Giri, the Oni Warlord. Your Super Seiso VChef. JP Business: onigiri@geexplus.co.jp NA Business: onigiri@underscoretalent.com",04/07/2021,IRL,2435,Inglês,15/05/2025,01:10:09
58352686,superjj102,superjj102,Mainly Streaming and Playing Hearthstone Battlegrounds with some KEKW Moments,07/03/2014,Hearthstone,2342,Inglês,15/05/2025,06:40:50
98506045,mutex,MuTeX,I Love Call Of Duty and Entertaining The Public.,07/08/2015,Call of Duty: Warzone,2290,Inglês,15/05/2025,05:39:49
25653002,iwdominate,IWDominate,Former LCS Player and Current LCS/LPL Co-Streamer and LEC Liveviewer,23/10/2011,League of Legends,2280,Inglês,15/05/2025,09:30:09
42316376,just_ns,just_ns,"Однозначно, стрим не для тех кому меньше 30-и. Тут надо додумывать мысль стримера, а не плыть по течению трансляции. Сразу можно сказать, стрим тяжелый, скорее драма. Эта трансляция оставляет послевкусие. Совершенно не жалко времени. Рекомендую! https://goo.su/z0zxEl",10/04/2013,Don't Starve Together,2239,Russo,15/05/2025,08:44:10
10386664,limmy,Limmy,"Mon-Fri, 09:30-13:30 (UK)",05/02/2010,The Elder Scrolls IV: Oblivion Remastered,2179,Inglês,15/05/2025,08:28:49
37278046,assentw,阿森,大家好 我是阿森，曾經是一位任職於閃電狼的電競教練，也是一位在FPS項目上的播報員，現在是一位在實況台的大叔。,29/10/2012,VALORANT,2105,Chinês,15/05/2025,06:53:44
166279350,loeya,Loeya,Me 178cm tall pure muscle Swedish degen Viking monster. Live daily around 8AM CET. ,23/07/2017,Fortnite,2048,Inglês,15/05/2025,06:03:54
32053915,rivenzi,Rivenzi,"Je suis Rivenzi, Le père Castor breton qui vous permettra: aussi bien de vous délecter de sujets d'Histoire, que de vous dégoûter par son  level sur une multitude de jeux, une RÉGALADE ! Rejoignez alors l’épopée de la communauté des cerveaux !!!",11/07/2012,Kingdom Come: Deliverance II,2045,Francês,15/05/2025,08:01:50
29722828,never_loses,NeVeR_LosEs,八德熊彎🐻八強AD🐻又壞又帥🐻大家都愛🐦🐦🐦［工作邀約洽詢］NLOUOsales@gmail.com,12/04/2012,Just Chatting,1956,Chinês,15/05/2025,07:32:05
48082917,jokerdtv,JokerdTV,World first level 60 in Classic WoW,25/08/2013,World of Warcraft,1938,Inglês,15/05/2025,08:30:35
806386760,e36_kimitosu,キミトス,ENTER FORCE.36 ストリーマー部門🎥世界一楽しむゲーム実況⚓️ ストグラ MOZU三階堂キミトス,04/07/2022,Grand Theft Auto V,1932,Japonês,15/05/2025,08:47:00
71897376,kettuncyukyuhei,けっつん,昭和生まれの雑食ゲーマーです＾～＾,25/09/2014,GeoGuessr,1888,Japonês,15/05/2025,10:01:45
160504245,39daph,39daph,email inquiries at 39daph@loaded.gg,17/06/2017,Just Chatting,4574,Inglês,15/05/2025,04:58:07
865792830,kentsumeshi_heyoo,けんつめし,FENNEL所属クラロワプロゲーマーYouTube22万人Twitter→https://twitter.com/Kent_GolemeshiYouTube➡https://www.youtube.com/@KENTSUMESHI1030,01/01/2023,Grand Theft Auto V,3004,Japonês,15/05/2025,09:24:43
24765850,blusewilly_retry,餐餐自由配,你好，這裡是我的Twitch頻道。主要分享遊戲實況，歡迎跟我分享你的錢。　　　偶有各式雜談閒聊，觀眾互動請保持基本禮儀，希望各位都能有舒適的觀賞體驗。,12/09/2011,Clair Obscur: Expedition 33,2485,Chinês,15/05/2025,09:12:30
952340772,hiiragitsurugi,柊ツルギ,毎日面白い配信を心がけています！！配信の切り抜きはYoutubeにて,04/09/2023,VALORANT,6294,Japonês,15/05/2025,10:24:17
501133928,rubenmartinweb,rubenmartinweb,Fútbol    💜Twitch💜   Esports,19/03/2020,Sports,3511,Espanhol,15/05/2025,07:00:18
603905457,rezreel,RezReel,Goated and caffeine addicted streamer. Hope you enjoy your stay at RezFam! | Business inquiries: rez@volos-agency.com,05/11/2020,Counter-Strike,3868,Inglês,15/05/2025,09:01:39
21390470,singsing,singsing,casual gamer from netherlands,28/03/2011,DOOM: The Dark Ages,1898,Inglês,15/05/2025,08:17:25
216781967,zabenafff,zabenafff,ДЛЯ СОТРУДНИЧЕСТВА:civilianlite@gmail.com или в тг менеджеру @MNGzabenafff,25/04/2018,Delta Force,1794,Russo,15/05/2025,07:45:12
605221125,gerardromero,gerardromero,Periodista deportivo siguiendo el día a día del Barça. Cada día directo a las 12h.,08/11/2020,Sports,4905,Espanhol,15/05/2025,09:55:53
268731435,cct_cs,CCT_CS,Champion of Champions,22/10/2018,Counter-Strike,3203,Inglês,15/05/2025,07:41:02
47124404,dunduk,Dunduk,"Меня зовут Андрей, живу-поживаю 28 лет. Играю в основном в Тарков. Стараюсь подрубать каждый день после обеда. Стримы - моя основная деятельность. По вопросам сотрудничества - admin@tarkov.help или https://vk.com/str1ker11. Остальные страницы - мошенники. Не пиарю контентмейкеров",04/08/2013,Escape from Tarkov,2229,Russo,15/05/2025,07:43:22
652680562,predator_cc,PreDaTOR_cc,🔥 Стрим с ПН. по ПТ. в 13:30 по МСК - Играем в кс го и классно проводим время - ЖДУ КАЖДОГО🔥,19/02/2021,Counter-Strike,1942,Russo,15/05/2025,08:13:58
48946894,nitenightkid,NiteNightKid,Come join the Chillest Stream on the Planet with the Chillest Community!  I've been playing League of Legends since the game came out and peaked at Master Rank.,13/09/2013,League of Legends,2018,Inglês,15/05/2025,08:17:05
159498717,jinnytty,Jinnytty,"Welcome to my channel! I am Korean streamer who likes to do outdoor streaming, gaming, and also other fun contents! I speak three languages : English, Korean and Chinese. Hope you guys have fun watching my stream :) ",08/06/2017,Just Chatting,6710,Inglês,15/05/2025,07:29:01
38770961,dracon,Dracon,"Fast jeden Tag ab ca. 08:45 Uhr (+-30 Minuten) da. Hauptthemen: Energie- und Wirtschaftspolitik. Ich lese die Studien und Gesetzentwürfe, damit du es nicht musst. Schreibe regelmäßig an Quellen.tv",26/12/2012,Just Chatting,4091,Alemão,15/05/2025,06:37:44
63304572,glorious_e,Glorious_E,"Hey everyone! ima former competitive Semi Pro Pubg player, who have been playing Pubg in the highest level national and international. I Love Fps games - Currently an Escape from tarkov streamer.",28/05/2014,Escape from Tarkov,3471,Inglês,15/05/2025,06:33:11
20780251,hltvorg,HLTVorg,The home of competitive Counter-Strike. ,27/02/2011,Counter-Strike,2889,Inglês,15/05/2025,09:45:02
501538848,facudiazt,facudiazt,Buenos días in the morning.,20/03/2020,Just Chatting,2522,Espanhol,15/05/2025,08:53:45
84413008,cinkrofwest,Cinkrofwest,0/14 lec 3x eum  Sprawy Biznesowe: cinkrof@stormmedia.gg / cinkrofofficial@gmail.com,05/03/2015,League of Legends,1868,Polonês,15/05/2025,10:04:32
27107346,b0aty,B0aty,The waiting room for your favourite streamer //  Business inquiries: Adam@B0aty.com,30/12/2011,Old School RuneScape,2792,Inglês,15/05/2025,09:31:23
120198135,nats,nAts,"Hi there! My name is Aiaz Akhmetshin, but maybe you know me better as nAts😉| ✅Pro VALORANT player for Team Liquid  | ✅Champion of Masters Berlin 2021 | ✅2nd place VALORANT Champions 2021 | ❎Ex CS-player | Business inquires- offnats@gmail.com |",29/03/2016,VALORANT,1849,Inglês,15/05/2025,10:07:21
737048563,anyme023,Anyme023,Central Slibard en mode gaming et cuisine des fois aussi 📩 Anym@essor.ovh ,24/10/2021,Just Chatting,48968,Francês,20/05/2025,18:39:13
31239503,eslcs,ESLCS,Home of everything Counter-Strike,11/06/2012,Counter-Strike,48589,Inglês,20/05/2025,14:40:19
90075649,illojuan,IlloJuan,"Illo, soy Juan, tengo un canal en Youtube que se llama LMDShow y aquí hago directos de cosas. Soy de Málaga y llevo a mi espalda 30 años de jolgorio.",02/05/2015,I Am Security,45037,Espanhol,20/05/2025,16:34:16
552120296,zackrawrr,zackrawrr,goat sex bird man,07/07/2020,Just Chatting,44982,Inglês,20/05/2025,18:01:09
188890121,dmitry_lixxx,Dmitry_Lixxx,Почта для сотрудничества - lixxx@streamers-alliance.com / №5469627532,04/01/2018,Counter-Strike,37188,Russo,20/05/2025,10:15:48
50985620,papaplatte,Papaplatte,kleiner blonder freund,02/11/2013,IRL,34558,Alemão,20/05/2025,15:26:44
238813810,eliasn97,eliasn97,"GOTY 2021, 2022, 2023, 2024B4B GOTY",15/07/2018,Among Us 3D: VR,31897,Alemão,20/05/2025,16:32:20
63936838,mastu,Mastu,Futur roi des pirates,08/06/2014,Minecraft,22414,Francês,20/05/2025,18:14:39
207813352,hasanabi,HasanAbi,i'm a political commentator irl trying to avoid heated gaming moments,23/03/2018,Just Chatting,21205,Inglês,20/05/2025,18:03:43
135468063,antoinedaniel,AntoineDaniel,Et oui je suis là,26/09/2016,Among Us,19240,Francês,20/05/2025,17:45:22
77964394,ramzes,ramzes,Professional dota 2 player.Business inquires - ramzes666cooperation@mail.ru. My main chat https://t.me/Ramzesasd.,25/12/2014,Dota 2,19059,Russo,20/05/2025,09:57:46
39276140,rubius,Rubius,se contar hasta patata,12/01/2013,Fortnite,18983,Espanhol,20/05/2025,17:03:22
89132304,sasavot,sasavot,"Одинокий человек на скале стоит, взглядом пронзая алое небо. Где-то там, на прибое, чайка кричит, где-то люди поют на распевы. Ну, а ветер лишь тихо листвой шелестит, Он стирает с щеки омыватель. ",21/04/2015,Cuphead,17976,Russo,20/05/2025,15:00:45
38759871,bysl4m,bySL4M,КРИВОЙ ЭФИР - Counter Strike,25/12/2012,Counter-Strike,17680,Russo,20/05/2025,15:00:13
403594122,zarbex,zarbex,GEIL GEMACHT 🗣️,22/12/2018,Night Club Simulator,17233,Alemão,20/05/2025,13:46:31
168116110,croissantstriketv,CroissantStrikeTV,Le meilleur de CS2 commenté par un groupe de casus. ,03/08/2017,Counter-Strike,16169,Francês,20/05/2025,14:42:24
64342766,trymacs,Trymacs,Moin Leute! ,14/06/2014,Pokémon Platinum Version,15952,Alemão,20/05/2025,13:45:18
23161357,lirik,LIRIK,"We like to play everything, relax, and have a good time. ",27/06/2011,Battlefield 1,14779,Inglês,20/05/2025,16:10:11
28141853,youngmulti,YoungMulti,"Poniedziałek, Wtorek, Czwartek - 18:00 | W sprawach biznesowych: multi@stormmedia.gg | Booking koncertowy: youngmulti@big-idea.eu",11/02/2012,Just Chatting,14737,Polonês,20/05/2025,16:03:45
14371185,northernlion,Northernlion,Streaming Monday to Friday @ 9AM PT,05/08/2010,Super Mario Party Jamboree,12737,Inglês,20/05/2025,16:02:03
25722719,dakillzor,Dakillzor,My mom says i'm special so there is that.  A mix between randoms and competitive modes with lots of laughs but way more driving fails (: Business e-mail: Dakillzor@gmail.com,26/10/2011,World of Tanks,11936,Inglês,20/05/2025,18:37:38
496105401,byilhann,byilhann,je monte en haut Contact: byilhan.contact@gmail.com,29/02/2020,Minecraft,11673,Francês,20/05/2025,18:10:26
38244180,alanzoka,alanzoka,To sempre jogando alguma coisa aí.  -   alanzoka@vandep.ag,05/12/2012,Deliver At All Costs,11017,Português,20/05/2025,18:22:11
851088609,dota2_paragon_ru,dota2_paragon_ru,Смотри Dreamleague Season 26 вместе с Paragon Events и Winline!,25/11/2022,Dota 2,10797,Russo,20/05/2025,09:19:41
198182340,mrsavage,MrSavage,Pro Fortnite Player and Content Creator. 4x DreamHack winner. Code MRSAVAGE #ad.,24/02/2018,Fortnite,10641,Inglês,20/05/2025,15:52:16
108268890,gorgc,Gorgc,:),29/11/2015,Dota 2,10193,Inglês,20/05/2025,09:57:47
176480198,gtasty,gTasty,Für Anfragen: gtastysponsoring@gmail.com,04/10/2017,Grand Theft Auto V,9663,Alemão,20/05/2025,16:01:17
36481935,esl_dota2,ESL_DOTA2,"Welcome to DreamLeague Season 26! 16 of the best Dota teams across the globe have gathered to provide 2 weeks of peak Dota as they fight over $1,000,000 USD and the 29200 EPT points available. You won't want to miss a second of the action as we take our last step towards the Esports World Cup 2025!",27/09/2012,Dota 2,9602,Inglês,20/05/2025,09:01:06
7601562,chess,Chess,Chess.com is the world’s #1 chess community with millions of chess players and fans. Join today!,06/08/2009,Chess,9577,Inglês,20/05/2025,14:56:24
86131599,lol_nemesis,lol_nemesis,perfection ,24/03/2015,League of Legends,9030,Inglês,20/05/2025,11:52:32
48189727,t2x2,T2x2,"Привет, я крутой! Стримлю всякое разное и буду очень рад тебя видеть ❤ Business only: t2x2@gca.holdings | РКН - https://clck.ru/3FmMFU",27/08/2013,Beholder: Conductor,9001,Russo,20/05/2025,14:01:18
254030065,skywhywalker,skywhywalker,я не дед инсайд зачильтесь,01/09/2018,God of War Ragnarök,8928,Russo,20/05/2025,17:07:44
56649026,quin69,Quin69,Professional Kiwi Gamer.,12/02/2014,Valheim,8750,Inglês,20/05/2025,15:00:45
26921830,elajjaz,Elajjaz,"Never late, always deathless.",20/12/2011,Wolfenstein II: The New Colossus,8743,Inglês,20/05/2025,13:55:08
36769016,timthetatman,TimTheTatman,"Gamer, nerd, geek. Streaming mostly FPS/Whatevs/Yolo. Feel welcomed, talk to me, and be yourself. Welcome to the #tatmanarmy, one of the most interactive communities on twitch!",08/10/2012,Call of Duty: Warzone,8708,Inglês,20/05/2025,14:58:15
93179860,faiar,Faiar,îmi place să explorez internetul și vreau să explorăm internetul împreună,10/06/2015,Just Chatting,8375,Romeno,20/05/2025,16:50:38
73437396,bonjwa,Bonjwa,Bonjwa | Good Game. Have Fun.,20/10/2014,Just Chatting,8264,Alemão,20/05/2025,10:29:53
38121996,bastighg,BastiGHG,Nur Kompetenz,01/12/2012,Minecraft,7905,Alemão,20/05/2025,17:52:30
52345220,tisischubech,TisiSchubech,Einer schöner als der Andere ,29/11/2013,EA Sports FC 25,7418,Alemão,20/05/2025,16:05:29
85498365,vedal987,vedal987,neuro-sama the ai vtuber,17/03/2015,Slay the Spire,7205,Inglês,20/05/2025,18:00:03
22484632,forsen,forsen,Approach with caution! No roleplaying or  tryharding allowed.,19/05/2011,PokéRogue,7193,Inglês,20/05/2025,14:02:19
50881182,aztecross,Aztecross,The only hammer Titan left in Destiny,30/10/2013,Destiny 2,7153,Inglês,20/05/2025,14:42:26
430023505,xrohat,xRohat,"Anfragen: Business@rohat.gg | xRohat streamt VALORANT, GTA V und Just Chatting ",14/04/2019,Grand Theft Auto V,7143,Alemão,20/05/2025,14:37:03
41809323,misterarther,MISTERARTHER,contact@misterarther.com,28/03/2013,Just Chatting,7093,Inglês,20/05/2025,17:09:44
100901794,shylily,Shylily,"Ahoy, I'm Lily. Professional Ocean Oreo Vtuber. This blubber covered Orcat goes Live pretty much every Day around 7pm (+/-2h) Amsterdam Time.  BUSINESS EMAIL: shylily@mythictalent.com",29/08/2015,Just Chatting,6995,Inglês,20/05/2025,17:25:41
567928581,mooda,mooda,the chosen one. ,16/08/2020,VALORANT,6628,Inglês,20/05/2025,16:40:47
141429177,flats,Flats,Top 500 Main Tank in Overwatch. I’m full time streaming for the foreseeable future starting daily at 1-2pm est. ,07/12/2016,Overwatch 2,6488,Inglês,20/05/2025,13:18:11
129625799,necros,Necros,"Fall seven times, stand up eight",15/07/2016,Marvel Rivals,6473,Inglês,20/05/2025,11:15:59
884745809,jordan_semih,Jordan_Semih,Willkommen auf unserem Kanal ,23/02/2023,IRL,6008,Alemão,20/05/2025,18:09:04
36717908,izakooo,IzakOOO,Oficjalny kanał Piotra 'izak' Skowyrskiego. Streamuje ciekawe mecze CS2 z polskiej i europejskiej sceny Counter-Strike 2.,07/10/2012,Counter-Strike,6007,Polonês,20/05/2025,15:00:09
81918254,im_dontai,Im_Dontai,Welcome To Room 6 - A Strong Mental Goes Farther Than Money & Fame . Only once I’m gone will you understand why my energy attracted so many. 👁🪐 18/3 ~ SYX,06/02/2015,IRL,5719,Inglês,20/05/2025,18:04:46
85800130,etoiles,Etoiles,"Etoiles : Nuit de la culture, minecraft, smash et multigaming entre amis !",22/03/2015,Just Chatting,5388,Francês,20/05/2025,16:35:14
101175894,auziomf,AuzioMF,EAFC Content Creator 😎 auziomf@gmail.com,01/09/2015,EA Sports FC 25,5384,Inglês,20/05/2025,17:11:50
97552124,freneh,Freneh,Ciao mi chiamo Alessandro ho 23 anni ed ho forti disturbi alla testa,28/07/2015,Tom Clancy's Rainbow Six Siege,5283,Italiano,20/05/2025,18:23:44
42120892,swid,Swid,Humour et non contenu ( la boucle ). Tarkov a pris mon âme depuis 2017 en détente.                                                                                                                            contact: leswidpro@gmail.com,05/04/2013,Escape from Tarkov,5262,Francês,20/05/2025,10:41:54
270698079,mazellovvv,mazellovvv,искренность это красиво ღ  / tg - https://t.me/mazellovvv / Business only: mazellovvv@gca.holdings / РКН - https://clck.ru/3G6SEC,29/10/2018,R.E.P.O.,5132,Russo,20/05/2025,14:00:43
40972890,admiralbahroo,AdmiralBahroo,"Home of the panda emotes! We are a comfy laid back stream, with a focus on variety games. Post rooSitF ",04/03/2013,Desktop Survivors 98,4985,Inglês,20/05/2025,15:00:59
25093116,fl0m,fl0m,"I play CS:GO for Mythic, and I stream mostly competitive play.  If you enjoy my stream, please follow the channel!",26/09/2011,Counter-Strike,4817,Inglês,20/05/2025,15:55:05
180118013,hutchmf,HutchMF,Bryce Hutchinson Better Known As HutchMF. For Business Inquiries. Email-hutch@loaded.gg,02/11/2017,Grand Theft Auto V,4787,Inglês,20/05/2025,14:09:22
63614185,snailkick,SNAILKICK,Со мной ты посмотришь любую дрянь. Регистрация в перечне РКН: https://knd.gov.ru/license?id=672df650c5bfde2b16a8816b&amp;registryType=bloggersPermission,03/06/2014,Just Chatting,4757,Russo,20/05/2025,16:03:32
